player,duration,score,clicks,avg_interval,var_interval,iti,panic_rate,death_altitude,label
Vito,21.94,11,44,0.501,0.0578,4.97,5,0.38,engaged
Vito,3.2,1,8,0.4,0.0722,2.85,3,0.5,frustrated
Vito,18.23,9,36,0.506,0.0606,2.34,5,0.54,engaged
Vito,1.33,0,6,0.173,0.0003,1.26,6,0.33,frustrated
Vito,5.3,2,14,0.335,0.0776,6.6,6,0.39,frustrated
Vito,20.09,10,49,0.409,0.085,3.57,8,0.36,engaged
Vito,18.17,9,41,0.44,0.0765,2.33,7,0.4,frustrated
Vito,3.32,1,9,0.329,0.0434,3.81,7,0.45,frustrated
Vito,18.18,9,44,0.41,0.0957,0.99,3,0.74,engaged
Vito,18.26,9,41,0.444,0.0747,1.16,5,0.32,frustrated
Vito,1.57,0,2,0.448,0.0,2.22,2,0.67,frustrated
Vito,46.57,24,101,0.46,0.0795,4.11,3,0.65,engaged
Vito,8.8,4,25,0.35,0.0912,1.15,6,0.5,frustrated
Vito,3.38,1,11,0.272,0.0506,0.98,7,0.2,frustrated
Vito,8.79,4,18,0.45,0.0483,4.3,5,0.39,engaged
Vito,1.35,0,4,0.257,0.0092,1.07,4,0.34,frustrated
Vito,20.35,10,41,0.493,0.0603,0.81,4,0.33,engaged
Vito,12.83,6,24,0.528,0.0369,1.94,4,0.29,frustrated
Vito,5.06,2,14,0.347,0.0873,1.97,4,0.51,frustrated
Vito,3.18,1,12,0.246,0.0659,6.13,9,0.3,frustrated
Vito,20.31,10,49,0.41,0.0789,0.79,8,0.19,engaged
Vito,5.05,2,14,0.361,0.0703,0.93,8,0.34,frustrated
Vito,1.32,0,2,0.71,0.0,0.8,2,0.55,frustrated
Vito,18.45,9,33,0.549,0.0452,0.73,3,0.57,engaged
Vito,6.91,3,16,0.416,0.0692,1.1,8,0.34,engaged
Vito,25.86,13,53,0.487,0.0647,0.87,6,0.37,engaged
Vito,10.77,5,20,0.533,0.0448,2.37,3,0.45,frustrated
Vito,8.81,4,16,0.543,0.0291,4.86,3,0.45,frustrated
Vito,8.97,4,19,0.451,0.0624,1.82,4,0.32,engaged
Vito,38.82,20,73,0.532,0.0512,1.24,3,0.53,engaged
Vito,31.33,16,58,0.539,0.0466,4.09,4,0.54,engaged
Vito,5.36,2,9,0.587,0.0188,0.87,4,0.53,frustrated
Vito,35.02,18,63,0.555,0.0422,0.53,3,0.59,engaged
Vito,10.84,5,20,0.54,0.0558,0.66,3,0.66,engaged
Vito,18.16,9,34,0.536,0.0441,0.77,4,0.42,engaged
Vito,5.24,2,12,0.439,0.0785,0.67,4,0.52,engaged
Vito,36.86,19,77,0.471,0.072,2.63,4,0.51,engaged
Vito,3.2,1,6,0.499,0.0696,1.39,3,0.58,frustrated
Vito,1.32,0,5,0.224,0.0008,1.06,5,0.35,frustrated
Vito,9.11,4,17,0.52,0.0438,8.05,6,0.38,engaged
Denis,12.85,6,23,0.561,0.0305,2.93,5,0.38,frustrated
Denis,27.69,14,55,0.501,0.0613,1.6,5,0.66,engaged
Denis,3.47,1,7,0.394,0.0344,0.82,4,0.42,frustrated
